"Year"	"Month"	"State"	"Location"	"Food"	"Ingredient"	"Species"	"Serotype"	"Status"	"Illnesses"	"Hospitalizations"	"Fatalities"
1998	"January"	"California"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	20	0	0
1998	"January"	"California"	"Unkown"	"Custard"	"NA"	"Unkown"	"Unkown"	"Pending"	112	0	0
1998	"January"	"California"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	35	0	0
1998	"January"	"California"	"Restaurant"	"Fish, Ahi"	"NA"	"Scombroid toxin"	"Unkown"	"Confirmed"	4	0	0
1998	"January"	"California"	"Private Home/Residence"	"Lasagna, Unspecified; Eggs, Other"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	26	3	0
1998	"January"	"California"	"Restaurant"	"Unkown"	"NA"	"Shigella boydii"	"Unkown"	"Confirmed"	25	3	0
1998	"January"	"California"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	8	0	0
1998	"January"	"California"	"Restaurant"	"Stuffing, Unspecified; Sandwich, Turkey"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	4	3	0
1998	"January"	"Florida"	"Restaurant"	"Hot Dog, Kielbasa"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"January"	"Florida"	"Restaurant"	"Ethnic Style, Unspecified"	"NA"	"Clostridium perfringens"	"Unkown"	"Suspected"	3	0	0
1998	"January"	"Florida"	"Restaurant"	"Ground Beef, Cheeseburger"	"NA"	"Staphylococcus aureus"	"Unkown"	"Suspected"	2	0	0
1998	"January"	"Florida"	"Restaurant"	"Pasta, Unspecified"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	2	0	0
1998	"January"	"Florida"	"Restaurant"	"Sauces, Unspecified; Tuna, Unspecified"	"NA"	"Scombroid toxin"	"Unkown"	"Suspected"	2	2	0
1998	"January"	"Florida"	"Restaurant"	"Sandwich, Chicken"	"NA"	"Campylobacter unknown"	"Unkown"	"Confirmed"	3	1	0
1998	"January"	"Florida"	"Restaurant"	"Chicken, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"January"	"Florida"	"Restaurant"	"Chicken, Fried"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	5	0	0
1998	"January"	"Florida"	"Restaurant"	"Doughnuts, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"January"	"Florida"	"Restaurant"	"Tomato Sauce, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	5	0	0
1998	"January"	"Florida"	"Restaurant"	"Steak, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Florida"	"Restaurant"	"Unknown Food"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Florida"	"Restaurant"	"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	1	0
1998	"January"	"Florida"	"Private Home/Residence"	"Turkey, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	18	5	0
1998	"January"	"Florida"	"Restaurant"	"Steak, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Florida"	"Grocery Store"	"Pork, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Guam"	"Restaurant"	"Chicken, Unspecified"	"NA"	"Vibrio parahaemolyticus"	"Unkown"	"Confirmed"	47	0	0
1998	"January"	"Hawaii"	"Private Home/Residence"	"Fish, Grouper, Unspecified"	"NA"	"Ciguatoxin"	"Unkown"	"Confirmed"	3	0	0
1998	"January"	"Hawaii"	"Private Home/Residence"	"Fish, Mahi Mahi"	"NA"	"Scombroid toxin"	"Unkown"	"Confirmed"	2	0	0
1998	"January"	"Hawaii"	"Restaurant"	"Fish, Ahi"	"NA"	"Scombroid toxin"	"Unkown"	"Confirmed"	2	0	0
1998	"January"	"Illinois"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"January"	"Illinois"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	11	0	0
1998	"January"	"Indiana"	"Restaurant"	"Unkown"	"NA"	"Shigella flexneri"	"Serotype 6"	"Confirmed"	25	3	0
1998	"January"	"Maryland"	"Restaurant"	"Chicken Salad"	"NA"	"Clostridium perfringens"	"Unkown"	"Suspected"	3	0	0
